index,x,y,yaw,s
142,3.8708816415335456,6.989368599244482,3.1265101960795367,4.939730707601662
143,3.848642617903585,6.993396081472147,-3.131284302520021,4.962331477170597
144,3.8271771369094423,6.988918061909025,-3.1181689946650955,4.984259074702418
145,3.8072117563560184,6.992425441576189,3.1403572852442365,5.004530190428316
146,3.7636932466910307,6.98899648793735,-3.0968228911420836,5.048183579833022
147,3.6996091548200223,6.987604877566593,-3.0692103075927695,5.112282779596793
148,3.679292159177283,6.982876647786516,-3.0866903110212953,5.133142704543932
149,3.660829678595803,6.985473651686435,-3.134244436372924,5.15178694275518
150,3.6209446470799587,6.98244788987642,-3.1278984816115747,5.191786579922919
151,3.601913530104345,6.9846667933792626,3.050397198386145,5.210946615050613
152,3.542253891729112,6.989644089531639,3.0459272734300527,5.270813516824898
153,3.480951811149845,6.996274073250131,3.0351633654030636,5.332473080296062
154,3.4613021784691673,6.998292401135668,2.9924326390905365,5.352226098089279
155,3.4212769659269,7.0052417795159005,3.0015080122856603,5.392850124218224
156,3.4025168122011555,7.006581620890684,2.9764366750337112,5.411658062508295
157,3.384139123268433,7.011431698639867,3.0375469771366372,5.43066497453211
158,3.3448577228835483,7.0126025420381675,3.035586768462934,5.4699638204497845
159,3.3275203732501897,7.0174562025548495,3.026685867600975,5.487967756483901
160,3.2886574604902075,7.019088906442944,3.018203110661212,5.52686495060091
161,3.270643289502816,7.024510074661874,2.9029485699114335,5.54567716528236
162,3.2511585870825517,7.028211634669806,3.004676650306177,5.565510348962711
163,3.21166544417833,7.032635924802674,3.0034261986176314,5.605250538690907
164,3.1734094377501805,7.039022841927678,2.9325998330795566,5.644036035183699
165,3.1353250027116686,7.048826948777264,2.9295704896981314,5.6833621677588795
166,3.0748296137375837,7.060242877454615,2.925175750832883,5.744925269651915
167,3.056343659026955,7.0661917984692275,2.7912459809982324,5.764344852108845
168,3.0172422796868994,7.081286522251584,2.8723975650828613,5.806258675035899
169,2.997199339505009,7.0825092291685445,2.926850797109092,5.826338875815264
170,2.9529130421295857,7.095317036106844,2.881186487475442,5.872440026058975
171,2.9327844986154057,7.099672982104462,2.9113124907531183,5.893034504191142
172,2.9136396208785333,7.104524253940567,2.896145243954878,5.912784470823713
173,2.8947054301940844,7.109211716453638,3.060551660700475,5.9322902618019455
174,2.8728578280883053,7.107836505324664,-2.997641044814668,5.95418110288724
175,2.8527068669759443,7.103123846424062,-3.0437353766141984,5.974875797561609
176,2.809311005081698,7.10159806032707,3.1237294609856825,6.018298474272726
177,2.765235072612422,7.104686538152743,3.0473007982979112,6.062482481767699
178,2.7434593853752722,7.107825799519877,2.915257298849495,6.084483288947922
179,2.721724127391428,7.114706286765469,2.899019499272689,6.107281590296072
180,2.7000774176178703,7.1185604799477815,2.9196373636159114,6.12926874220593
181,2.679718143145337,7.124185919535033,2.966941659152805,6.150390901839778
182,2.6570098635850647,7.1261596948766535,3.0247896259778595,6.173184799042467
183,2.6360671622578917,7.129307799988684,3.129390791746481,6.194362790086842
184,2.614615093760803,7.1266770156750265,-3.0703879889154715,6.21597557030848
185,2.591428074452043,7.126123905998938,-3.0423959696232217,6.239169185695879
186,2.56692401431439,7.121930640434448,-2.8068365617434994,6.264029443927122
187,2.5430810734813227,7.109306514306553,-2.6913988406880653,6.291008220549905
188,2.5177465241281065,7.098163448314149,-2.8558472642944355,6.318685057627896
189,2.4932946953140083,7.094680015756921,-2.989593711548322,6.343383766799324
190,2.4702619478632637,7.090889740016836,-2.9433077069854434,6.366726295482302
191,2.421714354215559,7.080297726629028,-2.9593921033363406,6.4164159281695134
192,2.3989898539214467,7.077758294297072,3.1285105121024843,6.439281877311977
193,2.3777383348817396,7.08087305995769,2.9824170235853886,6.460760443991706
194,2.3553672197339894,7.084761198637903,2.971469637644591,6.48346692798528
195,2.333490082263781,7.088474178138529,3.0031688722738012,6.5056569113260245
196,2.309777580189858,7.091112506956185,3.085752820008371,6.529515736392568
197,2.2861078502349503,7.091122747485371,3.0927372318721083,6.55318546856272
198,2.2627961615723495,7.093409631899123,3.006153222111577,6.576609060700218
199,2.240709216013121,7.097309387950517,2.943890074426974,6.599037642050735
200,2.2189310222445737,7.102196666767938,2.8119774361923096,6.621357481164395
201,2.1726791399284795,7.120582136665641,2.7203199181434017,6.671129583000074
202,2.1511183724427307,7.132583513011868,2.651594913752098,6.695805476677471
203,2.1298804743427064,7.143410313328685,2.6621523971611545,6.7196438474441
204,2.0860487118688327,7.166413203343661,2.6405911841446446,6.769144921681001
205,2.0415419761844893,7.191784789096466,2.6019012346189627,6.820375448565738
206,2.021204230664279,7.2052557116985145,2.608587227508742,6.844769907948869
207,1.9986305593030624,7.217100865741704,2.6551877408139073,6.870262618927324
208,1.9769795612070256,7.228640791065372,2.6556167002887054,6.89479699470969
209,1.957612986791612,7.238767589956187,2.656346826753505,6.916651428135491
210,1.9372596744892912,7.249584960149303,2.7319532964217803,6.939700784299401
211,1.8931894966480296,7.266740430562238,2.782976822983246,6.986992334708006
212,1.8725570094685,7.273837032799552,2.8392858380293773,7.008811163515439
213,1.8520421228304362,7.279572881448846,2.903645648751508,7.0301128191670585
214,1.8303900828707331,7.284064277224862,2.9129900857229956,7.052225789804975
215,1.8096905071016396,7.289426823402798,2.928555684434139,7.073608711460608
216,1.7916476804277124,7.292445012351228,2.9418615660653686,7.091902236514947
217,1.7692214213542083,7.297618984004382,2.866403198556022,7.114917602658018
218,1.7456941832343158,7.305420127657509,2.8165432740142813,7.139704469661471
219,1.720750035542724,7.313953973973426,2.7698037935051056,7.166068024751851
220,1.6964190345421002,7.324633620028913,2.7118530618611976,7.192639672227365
221,1.6727471486134766,7.335953979325815,2.572568127845254,7.218879121879155
222,1.6315810289596215,7.366103565715545,2.5116575531191208,7.269905065935362
223,1.6121146828181339,7.380155976585628,2.4810383968759266,7.293913582827535
224,1.5932327116325011,7.395899955263654,2.4376902716227655,7.318498165404208
225,1.5744922331426872,7.412096734305494,2.421823784105199,7.343267928934715
226,1.5594291492729977,7.42553415431501,2.313019967090824,7.363453586025273
227,1.5454392040908465,7.443773367952577,2.26559651148063,7.386440266523259
228,1.530716597187079,7.45998487991655,2.341416785314665,7.4083393138587255
229,1.511742529754562,7.478480974149309,2.3830326941933833,7.434836874818195
230,1.4965237690726894,7.492389911813867,2.4380851965155648,7.455454081798017
231,1.4798358462700965,7.505547477325754,2.5198894846212947,7.476705159362808
232,1.4620026043994605,7.517123751722377,2.6977514972388357,7.497966265743301
233,1.4412192503278891,7.523908955826314,2.9534867839433545,7.51982917500068
234,1.4182229831502646,7.525457481155677,3.0941543315044466,7.54287752059858
235,1.3935202283235686,7.526173416293259,3.0620924228222806,7.567590647862225
236,1.372839215191742,7.529073121687891,3.037503385805776,7.588473956880058
237,1.350991774693911,7.530616228822661,3.0975312440511726,7.61037582520072
238,1.3269015220916396,7.531098512069408,3.1229773696037757,7.634470904938524
239,1.3034578375065615,7.531501188786109,2.9878604886912563,7.657918047524838
240,1.2813354271782063,7.538159197409461,2.8238125850154634,7.6810206473258305
241,1.2618858835753897,7.545175347262866,2.8383605471669773,7.701696989002329
242,1.2393587697493647,7.551292903912512,2.8428668811453073,7.725039982741187
243,1.2172099191679435,7.558932892422029,2.769209120759817,7.748469472844555
244,1.195260613529986,7.56851798816402,2.7663192847551397,7.7724203826053895
245,1.1724854068399166,7.576551771241476,2.7526466646972683,7.7965709873661595
246,1.1508848260437614,7.586704221827861,2.671209448278661,7.820438482912202
247,1.1300849763630907,7.598110188477778,2.6621285245796655,7.8441604099409545
248,1.0930185242445964,7.616790643664116,2.661500274799969,7.885668015010644
249,1.0500899061348765,7.63976588273219,2.657979793127974,7.9343581358057875
250,1.02510560318925,7.652459297061119,2.6465205985043787,7.962382021350173
251,1.0042521814493532,7.664514630400714,2.5783163333119563,7.98646928479355
252,0.9832981732908836,7.678861653762356,2.555439706258635,8.011864314567987
253,0.9662124552624689,7.689772941199143,2.550895518607285,8.032136905770756
254,0.9434256496639979,7.705598803718866,2.572984970165375,8.059880309200679
255,0.922885492441929,7.717459128888803,2.6065037428161086,8.083598769771378
256,0.9020796842621398,7.730107593981045,2.6527201456517675,8.107947595681551
257,0.880053587683501,7.740243164414298,2.706479327375943,8.132193806076145
258,0.8572975921644628,7.750923405479662,2.764397010517847,8.157331484594195
259,0.833734268514897,7.758593239598535,2.8218477355164118,8.182111649582048
260,0.8092857149746214,7.766820442143346,2.8550735996237107,8.207907359146333
261,0.789573706169495,7.771604079729922,2.9020509194986635,8.228191502699687
262,0.7612132901075307,7.778561220819794,2.941529167865265,8.257392787112401
263,0.7371046384629579,7.782243554266061,2.956943327493022,8.281781035588438
264,0.7138158505299758,7.787413968112068,3.0112050160899866,8.305636869732865
265,0.686117319632353,7.788929603020185,3.0820901323762295,8.333376836622918
266,0.6618699054188142,7.7905085358326165,3.122605031723519,8.357675604593105
267,0.637857063930778,7.7898460606460205,-3.074667911845439,8.381697582648677
268,0.6125380561603365,7.78720207663001,-3.0795437539024455,8.407154267545899
