start_sec,end_sec,dt_sec,angle_command,speed_command,lidar_dx_m,lidar_dy_m,lidar_yaw_rad,lidar_arc_m,gyro_integral_raw_rad,icp_rmse_m,icp_inliers,icp_inlier_ratio,icp_seed_gain_span,accepted,rejection_reason
1784878357.1238492,1784878357.643536,0.5196869373321533,42.0,3.0,0.03103737334439427,0.03250976099127999,-0.14644836678454298,0.044986860391705484,0.1383873937386516,0.023717025056474716,94,0.6482758620689655,0.02678672836820925,False,initialization_sensitive
1784878357.643536,1784878358.162718,0.5191819667816162,42.0,3.0,-0.0019826678016382493,0.10478170040660305,-0.04350885672582526,0.10480872332130381,0.07869147203332778,0.020007463983195854,101,0.753731343283582,0.013455453056374939,False,initialization_sensitive
1784878358.162718,1784878358.6773582,0.5146400928497314,42.0,3.0,0.016882749784861928,-0.06416668756613429,-0.17072435451529167,0.06643116440604885,-0.17566128165540773,0.06845477377383778,52,0.3611111111111111,0.013709350410660202,False,few_inliers
1784878358.6773582,1784878359.1929162,0.5155580043792725,42.0,3.0,-0.1506287557821731,0.10996249502063828,-0.09171397901739765,0.18656141716680164,-0.3767444135905071,0.0564014689681956,52,0.37142857142857144,0.02441726117060483,False,few_inliers
1784878359.1929162,1784878359.715722,0.52280592918396,42.0,3.0,0.024215428123947558,0.1153515922611089,-0.15343080562194145,0.11798161843782075,-0.10523609468002322,0.05742433164956961,70,0.5343511450381679,0.000994733575989698,True,
1784878359.715722,1784878360.2368453,0.5211231708526611,42.0,3.0,0.03354401686074232,-0.016682501443027117,-0.014337715036270389,0.03746372865918618,0.004331498522232414,0.04827871978667962,84,0.5833333333333334,0.097193288594599,False,initialization_sensitive
1784878360.2368453,1784878360.7563622,0.5195169448852539,42.0,3.0,0.2846458092965682,-0.06950762071383099,-0.2869011870891281,0.29401681035990385,0.27261831280069354,0.03934986080324309,92,0.5575757575757576,0.011968399652317302,False,implausible_speed_gain
1784878360.7563622,1784878361.267943,0.5115807056427002,39.599998474121094,3.0,-0.0005980629615887634,-0.0637783376086026,-0.11459829862663316,0.06381605596257074,0.14100823302505722,0.0488909152391614,99,0.7122302158273381,0.005440140126088393,True,
1784878361.267943,1784878361.781204,0.513261079788208,39.599998474121094,3.0,0.20216075083003848,-0.0887227092681747,-0.047104318686559794,0.22079334577297874,0.06996972622572437,0.01780953771942798,83,0.6014492753623188,0.0922697800915284,False,initialization_sensitive
1784878361.781204,1784878362.300752,0.5195479393005371,39.599998474121094,3.0,0.08306023051533135,-0.06348975267770848,0.05316459317817123,0.10455871741406042,-0.03226688613418866,0.019456819238106448,99,0.7857142857142857,0.0022958797277903426,True,
1784878362.300752,1784878362.81885,0.5180981159210205,39.599998474121094,3.0,0.02150349868728363,-0.0018785266594752506,0.08596783895799413,0.02159204430570577,-0.12950629731665592,0.02590434807326478,87,0.7631578947368421,0.019209013644342347,False,initialization_sensitive
1784878362.81885,1784878363.342519,0.5236690044403076,39.599998474121094,3.0,0.1602180467435229,-0.007196457340296197,-0.2021997307918533,0.16065312333109924,0.17795997733268015,0.017241344746457162,69,0.8117647058823529,5.134781488891349e-16,True,
1784878363.342519,1784878363.8575912,0.5150721073150635,42.0,3.0,0.15755249338905858,-0.008191572856121945,-0.2505573130630885,0.15817873832635815,0.2388712390651786,0.01664976260442055,73,0.8202247191011236,9.159339953157541e-16,True,
1784878363.8575912,1784878364.373898,0.5163068771362305,42.0,3.0,0.10693892121848325,0.019427155688282433,-0.21742532084977703,0.1089036083600218,0.19914524522945784,0.014259572969982768,74,0.6788990825688074,3.3306690738754696e-16,True,
1784878364.373898,1784878364.8853471,0.5114490985870361,18.33333396911621,3.0,-0.06197137693000909,0.04237158714137294,0.27019665102192425,0.07530083580332804,-0.21525914460195367,0.019888687214908447,81,0.7168141592920354,0.0009985376756045036,False,yaw_disagrees_with_prior
1784878364.8853471,1784878365.407252,0.5219049453735352,18.33333396911621,3.0,-0.015771123636985684,0.06688964757621538,0.20854847974083565,0.0688484446014272,-0.2873151743745178,0.040327801802835746,83,0.7614678899082569,0.008410985171914971,False,yaw_disagrees_with_prior
1784878365.407252,1784878365.9284933,0.5212411880493164,18.33333396911621,3.0,0.11094734659266137,-0.006068771568477332,-0.06568218298388633,0.11113317800742353,0.07027342062537956,0.012546310096713304,61,0.782051282051282,0.0039061156241931433,True,
1784878365.9284933,1784878366.4430041,0.5145108699798584,18.33333396911621,3.0,0.15640647447755385,-0.01750883529235351,-0.11343821867101944,0.15746784863118957,0.12685285097015184,0.01293694715543831,59,0.7866666666666666,0.028495124393687427,False,initialization_sensitive
1784878366.4430041,1784878366.9597862,0.5167820453643799,15.0,3.0,0.14867767298208173,-0.010211656395519415,-0.08762991391333344,0.14907563835466123,0.09552376652298944,0.010330926495129277,61,0.782051282051282,0.045698036716051264,False,initialization_sensitive
1784878366.9597862,1784878367.472824,0.513037919998169,5.625,3.0,0.13931126658752052,0.0025557427559263803,0.024537070768940357,0.13933820331147145,-0.013641928805756591,0.010507458742352697,60,0.8,0.04667528142361325,False,initialization_sensitive
