index,time_sec,white_line_count,white_pair,yellow,white_components,yellow_components,white_spacing_m,yellow_center_offset_m,failure_score
218,13.943867,1,0,0,1,0,,,7.000
219,13.977160,1,0,0,1,0,,,7.000
220,14.046650,1,0,0,1,0,,,7.000
221,14.131369,1,0,0,1,0,,,7.000
222,14.159190,1,0,0,1,0,,,7.000
223,14.267408,1,0,0,1,0,,,7.000
224,14.304566,1,0,0,1,0,,,7.000
225,14.377750,1,0,0,1,0,,,7.000
226,14.412905,1,0,0,1,0,,,7.000
227,14.447679,1,0,0,1,0,,,7.000
228,14.516057,1,0,0,1,0,,,7.000
229,14.555627,1,0,0,1,0,,,7.000
230,14.632803,1,0,0,1,0,,,7.000
231,14.719205,1,0,0,1,0,,,7.000
232,14.795283,1,0,0,1,0,,,7.000
233,14.831348,1,0,0,1,0,,,7.000
234,14.866240,1,0,0,1,0,,,7.000
235,14.979525,1,0,0,1,0,,,7.000
236,15.052372,1,0,0,1,0,,,7.000
237,15.088873,1,0,0,1,0,,,7.000
238,15.128511,1,0,0,1,0,,,7.000
239,15.237773,1,0,0,1,0,,,7.000
240,15.266551,1,0,0,1,0,,,7.000
241,15.309494,1,0,0,1,0,,,7.000
242,15.445334,1,0,0,2,0,,,7.000
243,15.483619,1,0,0,1,0,,,7.000
244,15.512621,1,0,0,1,0,,,7.000
245,15.537913,1,0,0,2,0,,,7.000
246,15.635757,1,0,0,1,0,,,7.000
247,15.669542,1,0,0,1,0,,,7.000
248,15.745553,1,0,0,2,0,,,7.000
249,15.772688,1,0,0,1,0,,,7.000
250,15.805837,1,0,0,2,0,,,7.000
251,15.846305,1,0,0,2,0,,,7.000
252,15.942364,1,0,0,2,0,,,7.000
253,16.054002,1,0,1,4,1,,,4.000
254,16.090995,1,0,1,12,1,,,6.000
255,16.168233,1,0,1,3,1,,,4.000
256,16.251624,1,0,1,6,1,,,4.000
257,16.283665,1,0,1,5,1,,,4.000
258,16.305230,1,0,1,3,1,,,4.000
259,16.338341,1,0,1,4,1,,,4.000
260,16.414768,1,0,1,2,1,,,4.000
261,16.484677,2,1,1,3,1,0.45117187499999994,,3.000
262,16.601239,2,1,0,3,0,0.45390624999999996,,6.000
263,16.645438,2,1,0,3,0,0.505859375,,6.500
264,16.731811,2,1,0,6,0,0.5167968749999999,,8.000
265,16.762200,2,1,0,4,0,0.5140625,,6.500
266,16.836610,2,1,0,6,1,0.511328125,,8.000
267,16.877103,2,1,1,4,1,0.5167968749999999,,4.000
268,16.921107,2,1,1,4,1,0.5167968749999999,,3.000
269,16.986425,1,0,1,2,1,,,4.000
270,17.022550,1,0,1,2,1,,,4.000
271,17.096421,2,1,1,6,1,0.522265625,,4.000
272,17.135303,2,1,1,2,1,0.49765624999999997,,3.000
273,17.163486,1,0,1,1,1,,,4.000
274,17.214289,1,0,1,1,1,,,4.000
275,17.250040,1,0,1,1,1,,,4.000
276,17.323553,1,0,1,1,2,,,4.000
277,17.438121,1,0,1,1,3,,,4.000
278,17.469452,1,0,1,1,8,,,4.000
279,17.507897,1,0,1,1,5,,,4.000
280,17.552764,1,0,1,1,10,,,4.000
281,17.627219,1,0,1,2,8,,,4.000
282,17.655164,1,0,1,3,7,,,4.500
283,17.723883,1,0,1,4,6,,,4.000
284,17.794630,1,0,1,2,8,,,4.000
285,17.838799,1,0,1,2,9,,,4.000
286,17.871679,1,0,1,3,8,,,4.000
287,17.902110,1,0,1,4,11,,,4.000
288,17.984353,1,0,1,2,8,,,4.000
289,18.065767,1,0,1,4,9,,,5.000
290,18.098752,1,0,1,6,7,,,4.500
291,18.169503,1,0,1,5,9,,,5.500
292,18.211898,1,0,1,2,12,,,4.000
293,18.326190,1,0,1,2,12,,,4.000
294,18.353317,1,0,1,1,6,,,4.000
295,18.427942,1,0,1,2,14,,,4.000
296,18.462119,1,0,1,3,8,,,4.500
297,18.539792,1,0,1,1,14,,,4.000
298,18.569855,1,0,1,3,5,,,4.500
299,18.684250,1,0,1,2,7,,,4.000
300,18.720520,1,0,1,2,5,,,4.000
301,18.753469,1,0,1,2,8,,,4.000
302,18.823905,1,0,1,1,3,,,4.000
303,18.907901,1,0,1,1,2,,,4.000
304,19.052687,1,0,1,1,5,,,4.000
305,19.097603,1,0,1,1,2,,,4.000
306,19.143260,1,0,1,1,5,,,4.000
307,19.297086,2,1,1,2,5,0.49218749999999994,0.112109375,3.000
308,19.327606,1,0,1,1,6,,,4.000
309,19.358367,1,0,1,1,5,,,4.000
310,19.402106,1,0,1,1,5,,,4.000
311,19.519069,1,0,1,1,7,,,4.000
312,19.600571,1,0,1,1,5,,,4.000
313,19.631129,1,0,1,1,2,,,4.000
314,19.710066,1,0,1,1,13,,,4.000
315,19.744352,1,0,1,1,8,,,4.000
316,19.879691,1,0,1,1,2,,,4.000
317,19.950041,1,0,1,1,3,,,4.000
318,19.985561,1,0,1,1,1,,,4.000
319,20.071997,1,0,1,1,1,,,4.000
320,20.218027,1,0,1,1,1,,,4.000
321,20.251637,1,0,1,1,1,,,4.000
322,20.289505,1,0,1,2,1,,,4.000
323,20.359162,1,0,1,1,1,,,4.000
324,20.398401,1,0,1,1,1,,,4.000
325,20.433310,1,0,1,1,1,,,4.000
326,20.460352,1,0,1,1,1,,,4.000
327,20.573768,1,0,1,1,1,,,4.000
328,20.651986,1,0,1,1,1,,,4.000
329,20.683217,1,0,1,1,1,,,4.000
330,20.747147,1,0,1,1,1,,,4.000
331,20.798736,1,0,1,1,1,,,4.000
332,20.837703,1,0,0,1,0,,,7.000
333,20.954054,1,0,0,1,0,,,7.000
334,20.982559,1,0,0,2,0,,,7.000
335,21.027705,1,0,0,1,0,,,7.000
336,21.067691,1,0,0,3,0,,,7.500
337,21.152158,1,0,0,2,0,,,7.000
338,21.188455,2,1,0,3,0,0.697265625,,5.084
339,21.351071,2,1,0,4,0,0.73828125,,5.071
340,21.398518,1,0,0,2,0,,,7.000
341,21.440299,1,0,0,2,0,,,7.000
342,21.515754,0,0,0,0,0,,,9.000
343,21.611048,0,0,0,0,0,,,9.000
344,21.643257,0,0,0,0,0,,,9.000
345,21.806479,0,0,0,0,0,,,9.000
346,21.835778,0,0,0,1,0,,,9.000
347,21.869762,0,0,0,1,0,,,9.000
348,21.954499,0,0,0,0,0,,,9.000
349,21.998608,0,0,0,0,0,,,9.000
350,22.102527,0,0,0,0,0,,,9.000
351,22.141839,0,0,0,0,0,,,9.000
352,22.308441,1,0,0,3,0,,,7.500
353,22.377606,0,0,0,0,0,,,9.000
354,22.439354,0,0,0,0,0,,,9.000
355,22.470420,0,0,0,0,0,,,9.000
356,22.507871,0,0,0,0,0,,,9.000
357,22.538820,0,0,0,0,0,,,9.000
358,22.570254,0,0,0,0,0,,,9.000
359,22.708565,0,0,0,0,0,,,9.000
360,22.776602,0,0,0,0,0,,,9.000
361,22.848323,0,0,0,0,0,,,9.000
362,23.013483,0,0,0,0,0,,,9.000
363,23.052509,0,0,0,0,0,,,9.000
364,23.079385,0,0,0,0,0,,,9.000
365,23.144493,0,0,0,0,0,,,9.000
